embedding_label,beta,k,alpha,num_folds,dev_accuracy_mean,dev_accuracy_std,dev_macro_f1_mean,dev_macro_f1_std,dev_accuracy_reachable_mean,dev_accuracy_reachable_std,dev_unreachable_count_mean,dev_unreachable_count_std,edge_purity_mean,edge_purity_std,edge_purity_fold_mean,edge_purity_fold_std,component_label_coverage_mean,component_label_coverage_std,num_components_mean,num_components_std,largest_component_fraction_mean,largest_component_fraction_std,unreachable_count_mean,unreachable_count_std,unreachable_fraction_mean,unreachable_fraction_std,iterations_mean,iterations_std,final_delta_mean,final_delta_std,converged_mean,converged_std,confidence_mean_mean,confidence_mean_std,graph_seconds_mean,graph_seconds_std,fold_seconds_mean,fold_seconds_std
beta=0.001,0.001,30,0.95,10,0.3605,0.024318488622628035,0.33691017282421737,0.028101359433517686,0.3605,0.024318488622628035,0.0,0.0,0.47110801069643066,0.0,0.4678805611324345,0.024931656883858982,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.2,2.097617696340303,9.534182026982308e-07,2.8687227704070313e-08,1.0,0.0,0.2100974705560364,0.003435760326824743,0.9224884510040283,0.0,0.3906079292297363,0.021650084646433778
beta=0.001,0.001,30,0.99,10,0.22000000000000003,0.029720924166878347,0.1719514954650237,0.02938070595067014,0.22000000000000003,0.029720924166878347,0.0,0.0,0.47110801069643066,0.0,0.4678805611324345,0.024931656883858982,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74.4,3.134042472944842,9.709619916975498e-07,1.4975378090432283e-08,1.0,0.0,0.15241081632635423,0.008717082734013273,0.9224884510040283,0.0,0.4651373624801636,0.01460664757326422
beta=0.001,0.001,50,0.5,10,0.38899999999999996,0.027768887466211378,0.38135144651358566,0.028198787450542485,0.38899999999999996,0.027768887466211378,0.0,0.0,0.44282831094717795,0.0,0.4412235915869268,0.03039206263595904,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.9,0.31622776601683794,5.778856575489044e-07,1.4215344183170853e-07,1.0,0.0,0.4572208967686692,0.0031631581647359203,0.952650785446167,0.0,0.30117249488830566,0.015728337428485468
beta=0.001,0.001,50,0.8,10,0.38550000000000006,0.02266298989787339,0.37430129771023113,0.025267889063393376,0.38550000000000006,0.02266298989787339,0.0,0.0,0.44282831094717795,0.0,0.4412235915869268,0.03039206263595904,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.9,0.3162277660168379,8.000526577234268e-07,5.635525596118973e-08,1.0,0.0,0.32646603800845286,0.002588010983016408,0.952650785446167,0.0,0.33371548652648925,0.015367491267076237
beta=0.001,0.001,50,0.9,10,0.3785,0.02333928495524707,0.36266735775650194,0.026237800896571795,0.3785,0.02333928495524707,0.0,0.0,0.44282831094717795,0.0,0.4412235915869268,0.03039206263595904,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.4,0.8432740427115678,9.079114533960819e-07,2.92761556446457e-08,1.0,0.0,0.25224801353925047,0.0025724641577931913,0.952650785446167,0.0,0.08219656944274903,0.12376214439090054
beta=0.001,0.001,50,0.95,10,0.35050000000000003,0.02671350054019711,0.3296718825557113,0.029112625266865432,0.35050000000000003,0.02671350054019711,0.0,0.0,0.44282831094717795,0.0,0.4412235915869268,0.03039206263595904,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42.4,1.8973665961010275,9.604584192857146e-07,3.1663643243337286e-08,1.0,0.0,0.19976743069603328,0.003343996929062385,0.952650785446167,0.0,0.03269970417022705,0.0011027015922625216
beta=0.001,0.001,50,0.99,10,0.197,0.02983286778035259,0.13063345482163874,0.03009591558462185,0.197,0.02983286778035259,0.0,0.0,0.44282831094717795,0.0,0.4412235915869268,0.03039206263595904,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,68.4,2.6331223544175333,9.715498890727758e-07,2.1774721882057358e-08,1.0,0.0,0.1501738145239296,0.008936240079531031,0.952650785446167,0.0,0.04861001968383789,0.0017204787599588163
beta=0.003,0.003,5,0.5,10,0.3315,0.02582526755804176,0.32365041840456416,0.026541386249116054,0.3316658291457287,0.02581988911054963,0.1,0.31622776601683794,0.591743119266055,0.0,0.5834746382663469,0.08755876352670859,0.9999542857142856,2.4093544077477398e-05,2.0,0.0,0.9999428571428572,1.1702778228589004e-16,4.8,2.5298221281347035,4.5714285714285716e-05,2.4093544077473366e-05,13.4,0.5163977794943222,6.787478923797607e-07,1.9309161846066478e-07,1.0,0.0,0.556797953777224,0.0020655301001551926,0.3676004409790039,0.0,0.03248641490936279,0.047543008005944444
beta=0.003,0.003,5,0.8,10,0.3515,0.026145957835028943,0.34118299127258916,0.02636567324673116,0.351680904522613,0.026217464808811427,0.1,0.31622776601683794,0.591743119266055,0.0,0.5834746382663469,0.08755876352670859,0.9999542857142856,2.4093544077477398e-05,2.0,0.0,0.9999428571428572,1.1702778228589004e-16,4.8,2.5298221281347035,4.5714285714285716e-05,2.4093544077473366e-05,32.8,1.6865480854231356,8.642673492431641e-07,8.131417405478607e-08,1.0,0.0,0.41160029867721104,0.0024818259882948713,0.3676004409790039,0.0,0.04599320888519287,0.05360003735244157
beta=0.003,0.003,5,0.9,10,0.3625,0.026060826285186488,0.3505478839176561,0.02547167821075548,0.36268844221105523,0.026167848157584286,0.1,0.31622776601683794,0.591743119266055,0.0,0.5834746382663469,0.08755876352670859,0.9999542857142856,2.4093544077477398e-05,2.0,0.0,0.9999428571428572,1.1702778228589004e-16,4.8,2.5298221281347035,4.5714285714285716e-05,2.4093544077473366e-05,54.5,5.562773089426212,9.223818778991699e-07,5.026304976413058e-08,1.0,0.0,0.3284560927415695,0.0025822584777794827,0.3676004409790039,0.0,0.05327177047729492,0.05804680099824992
